, RealId,Fid,WGSX,WGSY,PointCode,Diameter,Elev,RegDate,Depth,PipeType,Material,InstrumentHeight,SmartModel,PipeModel,Images
1,gnsea11,,35.14066605,128.9053943,OL,2500_1800,1.053,2020-12-24 15:45,-1.053,3,24,,42,56,
2,gnsea11,,35.1402271,128.9054739,OL,2500_1800,1.004,2020-12-24 15:50,-1.004,3,24,,42,56,
3,gnsea11,,35.14019542,128.9055083,OL,3500_1800,0.923,2020-11-20 15:55,-0.923,3,24,,42,56,
4,gnsea11,,35.14005013,128.9080816,OL,3500_1800,1.016,2020-11-20 15:59,-1.016,3,24,,42,56,
5,gnsea11,,35.14155766,128.9083938,OL,1500_1800,1.216,2020-11-20 16:01,-1.216,3,24,,42,56,
6,gnsea11,,35.14013381,128.9082744,OL,1500_1800,1.146,2020-11-20 16:03,-1.146,3,24,,42,56,
7,gnsea11,,35.14154325,128.9085468,OL,1500_1800,1.387,2020-11-20 16:05,-1.387,3,24,,42,56,
8,gnsea11,,35.14011912,128.9084276,OL,1500_1800,1.32,2020-11-20 16:07,-1.32,3,24,,42,56,
9,gnsea11,,35.13934582,128.9083685,OL,1500_1800,1.259,2020-11-20 16:09,-1.259,3,24,,42,56,
10,gnsea11,,35.13988138,128.9084085,OL,1500_1800,1.168,2020-11-20 16:11,-1.168,3,24,,42,56,
13,gnsea11,,35.13740717,128.9084268,OL,2000_1800,1.037,2020-12-3 15:56,-1.037,3,24,,42,56,
14,gnsea11,,35.13690378,128.9084671,OL,2000_1800,1.457,2020-12-3 15:59,-1.457,3,24,,42,56,
15,gnsea11,,35.13424964,128.908679,OL,2500_1800,1.028,2020-12-24 16:00,-1.028,3,24,,42,56,
16,gnsea11,,35.13674531,128.9084803,OL,2500_1800,0.877,2020-12-24 16:10,-0.877,3,24,,42,56,
