 Fid,WGSX,WGSY,RealId,PointCode,Elev,RegDate,Azimuth,CodeIdx,CompanyName,Diameter,Fix,Geo,Heading,Height,Depth,HoleDepth,InstrumentHeight,ManholeIdx,ModelName,Pitch,Roll,Code,PipeType,Width,Images
1724291537101611116034,35.138606520000,128.911389760000,gnseA10,OM,0,2021-01-20 13:13:55,0,,,600,0,0,0,0,-2.31,2.38,0,7,,0,0,2,3,1700,obs_images/gnseA/20210119_123122.jpg|obs_images/gnseA/20210119_123117.jpg
1724291537101611043931,35.137626740000,128.912577400000,gnseA10,OM,0,2021-01-19 17:12:12,0,,,600,0,0,0,0,-2.62,1.63,0,6,,0,0,2,3,1300,obs_images/gnseA/20210119_121958.jpg|obs_images/gnseA/20210119_121953.jpg
1724291537101611043312,35.137885580000,128.912265320000,gnseA10,OM,0,2021-01-19 17:01:52,0,,,600,0,0,0,0,-2.93,1.7,0,6,,0,0,2,3,1300,obs_images/gnseA/20210119_121219.jpg|obs_images/gnseA/20210119_121213.jpg
1724291537101611043222,35.139994270000,128.909090730000,gnseA10,OM,0,2021-01-19 17:00:22,0,,,600,0,0,0,0,-1.3,2.36,0,7,,0,0,2,3,1700,obs_images/gnseA/20210119_115350.jpg|obs_images/gnseA/20210119_115345.jpg
1724291537101611041782,35.139956640000,128.909758330000,gnseA10,OM,0,2021-01-19 16:36:22,0,,,600,0,0,0,0,-2.28,2.23,0,6,,0,0,2,3,1300,obs_images/gnseA/20210119_120002.jpg|obs_images/gnseA/20210119_115956.jpg
1724291537101608797182,35.133565400000,128.908734280000,gnseA10,OM,0,2020-12-24 17:06:22,0,,,600,0,0,0,0,-0.38,2.73,0,7,,0,0,2,3,1700,obs_images/gnseA/201224-073-1.jpg|obs_images/gnseA/201224-073-2.jpg
1724291537101608796239,35.132935800000,128.908783620000,gnseA10,OM,0,2020-12-24 16:50:40,0,,,600,4,0,0,0,-0.59,2.55,0,7,,0,0,2,3,1700,obs_images/gnseA/201224-043-1.JPG|obs_images/gnseA/201224-043-2.JPG
1724291537101608709896,35.138689790000,128.908202690000,gnseA10,OM,0,2020-12-23 16:51:36,0,,,600,4,0,0,0,-1.77,1.7,0,7,,0,0,2,3,1700,obs_images/gnseA/201223-61-2.jpg
1724291537101608708840,35.139456340000,128.908224250000,gnseA10,OM,0,2020-12-23 16:34:00,0,,,600,0,0,0,0,-1.37,2.13,0,7,,0,0,2,3,1700,obs_images/gnseA/201223-33-1.jpg|obs_images/gnseA/201223-33-2.jpg
1724291537101608707204,35.138780770000,128.908199550000,gnseA10,OM,0,2020-12-23 16:06:44,0,,,600,4,0,0,0,-1.87,1.7,0,7,,0,0,2,3,1700,obs_images/gnseA/201223-01-1.jpg
1724291537101607694775,35.138030570000,128.908379200000,gnseA10,OM,0,2020-12-11 22:52:55,0,,,600,4,0,0,0,-0.94,2.59,0,6,,0,0,2,3,1300,obs_images/gnseA/201211-27-1.jpg|obs_images/gnseA/201211-27-2.jpg
1724291537101607693903,35.138568360000,128.908354600000,gnseA10,OM,0,2020-12-11 22:38:24,0,,,600,4,0,0,0,-1.32,2.06,0,6,,0,0,2,3,1300,obs_images/gnseA/201211-01-1.jpg|obs_images/gnseA/201211-01-2.jpg
1724291537101606900117,35.140403910000,128.906659600000,gnseA10,OM,0,2020-12-02 18:08:37,0,,,600,0,0,0,0,-0.98,1.68,0,6,,0,0,2,3,1300,obs_images/gnseA/201202-041-1.jpg|obs_images/gnseA/201202-041-2.jpg
1724291537101606900082,35.140612840000,128.906058800000,gnseA10,OM,0,2020-12-02 18:08:02,0,,,600,0,0,0,0,-1.21,1.91,0,7,,0,0,2,3,1700,obs_images/gnseA/201202-040-1.jpg|obs_images/gnseA/201202-040-2.jpg
