startno,startX,startY,startZ,valve,stopno,stopX,stopY,stopZ,valve,diameter,,,,,
1-001,128.9104425,35.16233079,0,5,1-002,128.9102378,35.15988194,0,0,400,,,,,
1-002,128.9102378,35.15988194,0,5,1-004,128.9099996,35.15703342,0,0,400,,,,,
1-002,128.9102378,35.15988194,0,3,1-205,128.9139517,35.15967245,0,4,300,,,,,
1-004,128.9099996,35.15703341,0,5,1-005,128.9097739,35.1543339,0,5,400,,,,,
1-004,128.9099996,35.15703341,0,1,1-065,128.9112041,35.1569655,0,1,200,,,,,
1-005,128.9097739,35.15433389,0,0,1-006,128.9095402,35.1515377,0,5,400,,,,,
1-005,128.9097739,35.15433389,0,1,1-070,128.9109783,35.15426598,0,1,200,,,,,
1-006,128.9095401,35.15153769,0,0,1-007,128.9092935,35.14858638,0,5,400,,,,,
1-006,128.9095401,35.15153769,0,1,1-075,128.9135755,35.15131009,0,1,200,,,,,
1-007,128.9092935,35.14858637,0,0,1-008,128.9092779,35.14839979,0,0,400,,,,,
1-007,128.9092935,35.14858637,0,1,1-076,128.9124101,35.1484106,0,1,250,,,,,
1-008,128.9092779,35.14839978,0,5,1-077,128.9123949,35.14822399,0,5,500,,,,,
1-009,128.9092756,35.1483728,0,1,1-010,128.9105073,35.14830336,0,2,200,,,,,
1-010,128.9105073,35.14830336,0,0,1-011,128.9122396,35.14820564,0,1,200,,,,,
1-010,128.9105073,35.14830336,0,1,1-079,128.9103789,35.14676721,0,1,100,,,,,
1-012,128.9121112,35.14666949,2.405,2,1-011,128.9122396,35.14820564,2.425,1,150,,,,,
1-013,128.911964,35.14490887,2.545,1,1-012,128.9121112,35.1466695,2.405,0,150,,,,,
1-014,128.9118127,35.1430991,2.695,2,1-013,128.911964,35.14490887,2.545,2,150,,,,,
1-015,128.9121875,35.14171605,2.5,2,1-016,128.9087355,35.14191075,2.66,1,200,,,,,
1-015,128.9121875,35.14171605,2.5,0,1-015-1,128.911984,35.14203632,2.54,0,200,,,,,
1-015-1,128.911984,35.14203632,2.54,0,1-015-2,128.9118523,35.14238104,2.585,0,200,,,,,
1-015-2,128.9118523,35.14238103,2.585,0,1-015-3,128.9117968,35.14273895,2.628,0,200,,,,,
1-015-3,128.9117967,35.14273894,2.628,0,1-014,128.9118126,35.14309911,2.67,1,200,,,,,
1-016,128.9087355,35.14191075,2.61,2,1-017,128.9083469,35.14193267,2.5,3,300,,,,,
1-016,128.9087355,35.14191075,2.66,1,1-018,128.9088488,35.14326628,2.3,0,200,,,,,
1-017,128.9083469,35.14193266,2.4,5,1-108,128.9086111,35.14509346,1.72,0,500,,,,,
1-018,128.9088488,35.14326627,2.3,2,1-019,128.9090001,35.14507604,1.73,2,200,,,,,
1-018,128.9088488,35.14326627,2.325,1,1-081,128.909451,35.14323232,2.375,0,150,,,,,
1-019,128.9090001,35.14507604,1.705,1,1-020,128.9091472,35.14683667,1.785,0,250,,,,,
1-019,128.9090001,35.14507604,1.755,1,1-080,128.9096022,35.14504208,2.935,0,150,,,,,
1-020,128.9091472,35.14683667,1.785,0,1-009,128.9092756,35.14837281,1.735,1,250,,,,,
1-020,128.9091472,35.14683667,0,1,1-079,128.9103789,35.14676721,0,0,100,,,,,
1-021,128.908887,35.14839472,1.52,0,1-078,128.9088892,35.14842171,1.53,0,500,,,,,
1-021,128.908887,35.14839472,0,4,1-009,128.9092756,35.14837281,0,4,300,,,,,
1-022,128.9085289,35.14509807,2.08,0,1-022-1,128.9082656,35.14194749,2.78,0,200,,,,,
1-022,128.9085289,35.14509807,2.08,1,1-108,128.9086111,35.14509346,1.87,0,200,,,,,
1-022-1,128.9082655,35.14194749,2.78,0,1-022-2,128.908295,35.14157481,2.89,0,200,,,,,
1-022-2,128.908295,35.1415748,2.89,0,1-023,128.9081623,35.13998729,2.12,1,200,,,,,
1-023,128.9081623,35.13998728,2.12,2,1-023-1,128.9081021,35.13899522,2.07,0,200,,,,,
1-023-1,128.9081021,35.13899522,2.07,0,1-023-2,128.9081261,35.13800201,2.01,0,200,,,,,
1-023-2,128.9081261,35.13800201,2.01,0,1-026,128.908283,35.13602566,1.91,1,200,,,,,
1-024,128.9065968,35.14007553,1.87,2,1-163,128.9066368,35.14055332,2.01,0,100,,,,,
1-024,128.9065968,35.14007553,1.82,1,1-023,128.9081623,35.13998729,2.12,1,200,,,,,
1-025,128.9067059,35.13611457,1.85,2,1-182,128.906261,35.13613967,1.69,1,80,,,,,
1-025,128.9067059,35.13611457,1.77,1,1-183,128.9067356,35.135878,1.78,0,80,,,,,
1-026,128.908283,35.13602566,1.96,1,1-181,128.9079406,35.13604497,1.84,0,100,,,,,
1-027,128.9083492,35.13602191,1.89,3,1-026,128.908283,35.13602566,1.91,0,200,,,,,
