startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
BM 991,128.9083672,35.13934542,0.41,BM 991_1,128.9084127,35.13995652,0.31,1500_1800,,,,
BM 991_1,128.9084127,35.13995652,0.31,BM 991_2,128.9083698,35.14000285,0.3,1500_1800,,,,
BM 991_2,128.9083698,35.14000285,0.3,BM 991_3,128.9083572,35.1400165,0.3,1500_1800,,,,
BM1,128.9193177,35.15908554,0,BM1_1,128.9192699,35.15893169,0,2500_1800,,,,
BM10,128.9083181,35.13684788,0.09,BM741,128.9066582,35.13694422,0.75,3000_1800,,,,
BM10,128.9083181,35.13684788,0.09,bm10-1,128.9083404,35.13685021,0.09,3000_1800,,,,
bm10-1,128.9083404,35.13685021,0.09,bm10-2,128.908473,35.13684072,0.09,2500_1800,,,,
BM101,128.9082895,35.13682413,1.23,BM742,128.9066169,35.13692127,0.74,3000_1800,,,,
BM101,128.9082895,35.13682413,1.23,bm101-1,128.9083379,35.13682106,1.23,3000_1800,,,,
bm101-1,128.9083379,35.13682106,1.23,bm101-2,128.9084709,35.13681554,1.23,2500_1800,,,,
BM11,128.9085897,35.14167954,0,BM11_1,128.9085884,35.14166332,0,1500_1800,,,,
BM11_1,128.9085884,35.14166332,0,BM11_2,128.9085471,35.14156449,0,1500_1800,,,,
BM11_2,128.9085471,35.14156449,0,BM11_3,128.9084255,35.140109,0,1500_1800,,,,
BM11_3,128.9084255,35.140109,0,BM11_4,128.9083725,35.14006561,0,1500_1800,,,,
BM11_4,128.9083725,35.14006561,0,BM11_5,128.9083577,35.14005351,0,1500_1800,,,,
BM12,128.9084272,35.13738913,0,BM12_1,128.9084667,35.13689347,0,2000_1800,,,,
BM12_1,128.9084667,35.13689347,0,BM12_2,128.9084376,35.13686965,0,2000_1800,,,,
BM12_2,128.9084376,35.13686965,0,BM12_3,128.9084228,35.13685755,0,2000_1800,,,,
BM14,128.908419,35.14003154,0.3,BM17,128.9082657,35.14004018,0.29,3500_1800,,,,
BM16,128.9083715,35.14170052,0.36,BM16_1,128.9083694,35.14167567,0.36,1500_1800,,,,
BM16_1,128.9083694,35.14167567,0.36,BM16_2,128.9083938,35.14157314,0.36,1500_1800,,,,
BM16_2,128.9083938,35.14157314,0.36,BM16_3,128.9082724,35.14012015,0.29,1500_1800,,,,
BM16_3,128.9082724,35.14012015,0.29,BM16_4,128.9082165,35.14007441,0.29,1500_1800,,,,
BM16_4,128.9082165,35.14007441,0.29,BM16_5,128.9082018,35.14006231,0.29,1500_1800,,,,
BM17,128.9082657,35.14004018,0.29,BM17-1,128.9066346,35.14013214,0.18,3500_1800,,,,
BM17-1,128.9066346,35.14013214,0.18,BM24,128.9054795,35.14019725,0.13,3500_1800,,,,
BM18,128.9062843,35.13618351,0.09,BM8,128.9061346,35.13683342,0.06,2000_1800,,,,
BM19,128.9064888,35.13529597,0.24,BM18,128.9062843,35.13618351,0.2,1500_1800,,,,
BM2,128.9178611,35.15937389,0,BM2_1,128.9192527,35.15901904,0,2000_1800,,,,
BM2_1,128.9192527,35.15901904,0,BM2_2,128.9192613,35.15900544,0,2000_1800,,,,
BM2_2,128.9192613,35.15900544,0,BM2_3,128.9192707,35.15899064,0,2000_1800,,,,
BM24,128.9054795,35.14019724,0.13,BM24_1,128.9053376,35.14009271,0.1,3500_1800,,,,
BM25,128.9053956,35.14065038,0.25,BM24,128.9054795,35.14019725,0.2,2500_1800,,,,
BM26,128.9085334,35.13605671,0.15,BM26_1,128.9084772,35.13676151,0.12,2500_1800,,,,
BM26_1,128.9084772,35.13676151,0.12,BM26_2,128.9084255,35.1368041,0.1,2500_1800,,,,
BM27,128.9086101,35.13509488,0.18,BM26,128.9085334,35.13605671,0.15,2500_1800,,,,
BM28,128.908681,35.13420528,0.2,BM27,128.9086101,35.13509488,0.18,2500_1800,,,,
BM29,128.9086526,35.14506399,0.39,BM43,128.9087906,35.14671507,0,1500_1800,,,,
BM3,128.9143879,35.1597156,0,BM4-1,128.9161383,35.1596134,0,2000_1800,,,,
BM30,128.9124724,35.14146055,0.48,BM36,128.9123688,35.14159288,0.46,2500_1800@2,,,,
BM31,128.9123123,35.14827968,0,BM472,128.9104864,35.14838267,0,3000_1800,,,,
BM311,128.9122929,35.14831059,0,BM471,128.9104686,35.14843247,0,3000_1800,,,,
BM312,128.9122433,35.1483633,0,BM47,128.9104492,35.14846338,0,3000_1800,,,,
BM32,128.9120543,35.14484504,0.32,BM33,128.9122015,35.14660567,0.25,2500_1800,,,,
BM321,128.9120083,35.14487384,0.32,BM331,128.9121548,35.14662637,0.25,2500_1800,,,,
BM33,128.9122015,35.14660567,0,BM33_1,128.9123287,35.14823202,0,2500_1800,,,,
BM33_1,128.9123287,35.14823202,0,BM33_2,128.9122836,35.14827453,0,2500_1800,,,,
BM331,128.9121548,35.14662637,0,BM331_1,128.9122972,35.14822332,0,2500_1800,,,,
BM331_1,128.9122972,35.14822332,0,BM331_2,128.9122403,35.14827697,0,2500_1800,,,,
BM34,128.9119127,35.14315219,0.37,BM32,128.9120543,35.14484504,0.37,2500_1800,,,,
BM341,128.9118668,35.14318098,0.32,BM321,128.9120083,35.14487384,0.32,2500_1800,,,,
BM35,128.9122688,35.1417205,0.45,BM34,128.9119127,35.14315219,0.37,2500_1800,,,,
BM35,128.9122688,35.1417205,0.45,BM341,128.9118503,35.14318097,0.37,2500_1800,,,,
BM36,128.9123688,35.14159288,0.46,BM35,128.9122688,35.1417205,0.45,2500_1800@2,,,,
BM37,128.9129685,35.14082728,0.55,BM30,128.9124724,35.14146055,0.48,2000_1800@2,,,,
BM38,128.9134836,35.14016953,0.59,BM37,128.9129685,35.14082728,0.55,2000_1800@2,,,,
BM381,128.9136081,35.14001067,0.6,BM38,128.9134836,35.14016953,0.59,3500_1800,,,,
BM39,128.9139347,35.13959372,0.62,BM381,128.9136081,35.14001067,0.6,3500_1800,,,,
BM4,128.9090415,35.13418494,0.22,BM4_1,128.9087239,35.13420286,0.21,2000_1800,,,,
BM4_1,128.9087239,35.13420286,0.21,BM4_2,128.9087107,35.13421371,0.21,2000_1800,,,,
BM4_2,128.9087107,35.13421371,0.21,BM4_3,128.9086964,35.13422548,0.21,2000_1800,,,,
