Name,NX,EY,WGSX,WGSY,Elev,CodeName,PointCode,H,PDOP,RMS,RegDate,Solution,Caliber,Sv,Stakeout NX,Stakeout EY,Stakeout Elev,Depth,PipeType,Material,RealId,InstrumentHeight,SmartModel,PipeModel
200220-01,282055.761,191651.716,128.9083997,35.1348188,-2.572,200220-01-OL,OL,26.4983,0,0,2020.2.20 16:35,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-02,282063.512,191651.067,128.9083925,35.1348886,-2.544,200220-02-OL,OL,26.5259,0,0,2020.2.20 16:36,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-03,282071.488,191650.547,128.9083867,35.1349605,-2.544,200220-03-OL,OL,26.5259,0,0,2020.2.20 16:37,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-04,282079.536,191650.132,128.9083821,35.1350331,-2.540,200220-04-OL,OL,26.5295,0,0,2020.2.20 16:37,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-05,282087.663,191649.666,128.9083769,35.1351063,-2.561,200220-05-OL,OL,26.5089,0,0,2020.2.20 16:44,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-06,282095.594,191649.106,128.9083707,35.1351778,-2.560,200220-06-OL,OL,26.5093,0,0,2020.2.20 16:45,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-07,282103.662,191648.707,128.9083662,35.1352505,-2.554,200220-07-OL,OL,26.5155,0,0,2020.2.20 16:46,FIXED,600,19,0,0,0,10,1,1,konw01,180,1,1
200220-08,282111.638,191648.019,128.9083586,35.1353224,-2.535,200220-08-OL,OL,26.5349,0,0,2020.2.20 17:38,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200220-09,282113.263,191647.957,128.9083579,35.1353370,-2.528,200220-09-OL,OL,26.5415,0,0,2020.2.20 17:39,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200220-10,282120.849,191647.457,128.9083523,35.1354054,-2.544,200220-10-OL,OL,26.5251,0,0,2020.2.20 17:40,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-01,282122.680,191647.384,128.9083515,35.1354219,-2.515,200221-01-OL,OL,26.5543,0,0,2020.2.21 17:29,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-02,282130.412,191647.036,128.9083476,35.1354916,-2.526,200221-02-OL,OL,26.5435,0,0,2020.2.21 17:29,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-03,282138.411,191646.567,128.9083424,35.1355637,-2.490,200221-03-OL,OL,26.5799,0,0,2020.2.21 17:29,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-04,282146.368,191646.035,128.9083365,35.1356354,-2.518,200221-04-OL,OL,26.5509,0,0,2020.2.21 17:30,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-05,282154.337,191645.537,128.9083309,35.1357072,-2.511,200221-05-OL,OL,26.5587,0,0,2020.2.21 17:30,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-06,282162.345,191644.994,128.9083249,35.1357794,-2.497,200221-06-OL,OL,26.5719,0,0,2020.2.21 17:31,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200221-07,282170.333,191644.413,128.9083184,35.1358514,-2.495,200221-07-OL,OL,26.5745,0,0,2020.2.21 17:35,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200221-08,282178.410,191643.683,128.9083103,35.1359242,-2.481,200221-08-OL,OL,26.5883,0,0,2020.2.21 18:16,FIXED,600,13,0,0,0,10,1,1,konw01,180,1,1
200221-09,282182.639,191643.619,128.9083096,35.1359623,-2.421,200221-09-OL,OL,26.6485,0,0,2020.2.21 18:20,FIXED,600,15,0,0,0,10,1,1,konw01,180,1,1
200301-01,282184.510,191643.454,128.9083078,35.1359792,-2.503,200301-01-OL,OL,26.5665,0,0,2020.3.1 15:47,FIXED,600,18,0,0,0,10,1,1,konw01,180,1,1
200301-02,282192.183,191643.008,128.9083028,35.1360484,-2.478,200301-02-OL,OL,26.5915,0,0,2020.3.1 15:57,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-03,282200.291,191642.478,128.9082969,35.1361214,-2.485,200301-03-OL,OL,26.5839,0,0,2020.3.1 15:58,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-04,282208.258,191641.916,128.9082907,35.1361932,-2.481,200301-04-OL,OL,26.5881,0,0,2020.3.1 15:58,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-05,282216.326,191641.330,128.9082841,35.1362660,-2.472,200301-05-OL,OL,26.5973,0,0,2020.3.1 15:59,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-06,282224.353,191640.951,128.9082799,35.1363383,-2.465,200301-06-OL,OL,26.6035,0,0,2020.3.1 15:59,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-07,282232.309,191640.390,128.9082737,35.1364100,-2.466,200301-07-OL,OL,26.6025,0,0,2020.3.1 15:59,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-08,282240.340,191639.802,128.9082671,35.1364824,-2.458,200301-08-OL,OL,26.6105,0,0,2020.3.1 16:17,FIXED,600,17,0,0,0,10,1,1,konw01,180,1,1
200301-09,282243.906,191639.517,128.9082640,35.1365145,-2.460,200301-09-OL,OL,26.6087,0,0,2020.3.1 16:17,FIXED,600,16,0,0,0,10,1,1,konw01,180,1,1
200301-10,282244.684,191639.525,128.9082641,35.1365215,-3.328,200301-10-OM,OM,25.7409,0,0,2020.3.1 16:20,FIXED,600,19,0,0,0,10,1,1,konw02,180,1,1
200301-11,282183.499,191643.486,128.9083081,35.1359701,-1.932,200301-11-OM,OM,27.1369,0,0,2020.3.1 16:21,FIXED,600,19,0,0,0,10,1,1,konw02,180,1,1
200301-12,282121.774,191647.365,128.9083513,35.1354137,-0.699,200301-12-OM,OM,28.3703,0,0,2020.3.1 16:23,FIXED,600,19,0,0,0,10,1,1,konw02,180,1,1
200301-13,282054.727,191651.483,128.9083972,35.1348094,-0.560,200301-13-OM,OM,28.5103,0,0,2020.3.1 16:24,FIXED,600,19,0,0,0,10,1,1,konw02,180,1,1
200303-01,282245.615,191639.483,128.9082636,35.1365299,-2.501,200303-01-OL,OL,26.5681,0,0,2020.3.3 15:18,FIXED,600,18,0,0,0,10,1,1,konw02,180,1,1
200303-02,282253.312,191638.924,128.9082574,35.1365993,-2.348,200303-02-OL,OL,26.7209,0,0,2020.3.3 15:22,FIXED,600,16,0,0,0,10,1,1,konw02,180,1,1
200303-03,282261.296,191638.372,128.9082512,35.1366713,-2.349,200303-03-OL,OL,26.7195,0,0,2020.3.3 15:23,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200303-04,282269.274,191637.824,128.9082451,35.1367432,-2.417,200303-04-OL,OL,26.6515,0,0,2020.3.3 15:28,FIXED,600,18,0,0,0,10,1,1,konw02,180,1,1
200303-05,282277.276,191637.244,128.9082387,35.1368153,-2.425,200303-05-OL,OL,26.6429,0,0,2020.3.3 15:34,FIXED,600,18,0,0,0,10,1,1,konw02,180,1,1
200303-06,282285.345,191636.747,128.9082332,35.1368880,-2.323,200303-06-OL,OL,26.7451,0,0,2020.3.3 15:38,FIXED,600,18,0,0,0,10,1,1,konw02,180,1,1
200303-07,282293.338,191636.222,128.9082273,35.1369601,-2.322,200303-07-OL,OL,26.7459,0,0,2020.3.3 15:40,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200303-08,282301.506,191635.709,128.9082216,35.1370337,-2.431,200303-08-OL,OL,26.6371,0,0,2020.3.3 15:41,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200303-09,282307.479,191635.287,128.9082169,35.1370875,-2.430,200303-09-OL,OL,26.6377,0,0,2020.3.3 15:42,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200303-10,282308.184,191635.364,128.9082178,35.1370939,-2.390,200303-10-OM,OM,26.6777,0,0,2020.3.3 15:43,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-01,282309.234,191635.269,128.9082167,35.1371033,-2.415,200304-01-OL,OL,26.6531,0,0,2020.3.4 15:43,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-02,282316.912,191634.800,128.9082115,35.1371725,-2.359,200304-02-OL,OL,26.7087,0,0,2020.3.4 15:44,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-03,282324.926,191634.312,128.9082060,35.1372448,-2.388,200304-03-OL,OL,26.6797,0,0,2020.3.4 15:45,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-04,282332.952,191633.847,128.9082009,35.1373171,-2.390,200304-04-OL,OL,26.6781,0,0,2020.3.4 15:47,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-05,282340.960,191633.310,128.9081949,35.1373893,-2.382,200304-05-OL,OL,26.6857,0,0,2020.3.4 15:48,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200304-06,282343.495,191633.156,128.9081932,35.1374121,-2.395,200304-06-OL,OL,26.6725,0,0,2020.3.4 15:48,FIXED,600,17,0,0,0,10,1,1,konw02,180,1,1
200407-01,282344.384,191633.060,128.9081921,35.1374202,-2.424,200407-01-OM,OM,26.6435,0,0,2020.4.8 9:15,FIXED,600,19,0,0,0,10,1,1,konw02,180,1,1
200407-02,282345.247,191633.041,128.9081919,35.1374279,-2.423,200407-02-OL,OL,26.6447,0,0,2020.4.8 9:15,FIXED,600,20,0,0,0,10,1,1,konw02,180,1,1
200407-03,282351.939,191632.634,128.9081874,35.1374882,-2.410,200407-03-OL,OL,26.6573,0,0,2020.4.8 9:16,FIXED,600,20,0,0,0,10,1,1,konw02,180,1,1
200407-04,282359.977,191632.087,128.9081813,35.1375607,-2.410,200407-04-OL,OL,26.6575,0,0,2020.4.8 9:16,FIXED,600,18,0,0,0,10,1,1,konw02,180,1,1
